index,Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Queens,Borough_Staten Island
8350,10488,2794128,75798,1931,1,100,82.7,5.5,0.7,4845900.5,52291.2,1420792.9,416410.5,66.17,40.656622,-73.958066,9,40,79601,11.23582719,11.23582719,5.550631295,4.192227188,0,0
8544,10707,2800330,107175,1938,1,100,83,4.7,0.7,7194700.1,77215.6,1703291.4,499206.1,34.71,40.636715,-73.961657,14,40,518,11.58221829,11.58221829,5.945682354,3.54702783,0,0
3750,4291,3448554,386287,1986,1,100,73.8,16.9,0.478642298,6299575.527,66944.70117,23355827.4,6845200.6,101.7424207,40.762515,-73.968555,8,4,11402,12.8643359,12.9131252,5.583766874,3.794018727,0,0
2624,3069,2386549,625517,1964,1,100,103.9,5.9,0.7,41544135.8,395866.3,11898343.7,3428712.7,101.7424207,40.77693,-73.977629,7,6,157,13.34633379,13.25954286,7.91884697,3.794018727,0,0
3935,4498,4917680,58325,1930,1,100,37.8,6.732861157,0.478642298,2337912.1,66944.70117,8574.8,1381668.643,101.7424207,40.764066,-73.960919,8,5,118,10.9737861,11.03488966,4.821893169,3.794018727,0,0
5817,6865,4929110,68306,2005,1,100,62.2,3.9,0.5,3328229.9,33282.3,918377.1,269160.9,101.7424207,40.827874,-73.905857,3,16,185,11.13175289,11.13189928,5.17501915,3.794018727,0,0
4756,5480,2734706,126785,1911,1,100,62.1,3.8,0.5,6195776.6,61957.8,1680501.7,476185.1,101.7424207,40.800015,-73.971683,7,6,191,11.75024802,11.75024802,5.796361656,3.794018727,0,0
7598,9236,2799254,54193,1904,1,100,77.3,8.2,0.6,2675171.2,29982.3,1515778.8,444249.3,23.51,40.660848,-73.992571,7,38,145,10.90030703,10.85321306,4.956531035,3.157425863,0,0
10635,13325,5934993,139142,1941,1,100,70.9,2.9,0.7,8448899.9,92630.3,1429841,405604.3,47.24,40.716601,-73.844101,6,29,737,11.84325027,11.84504539,6.106577354,3.855240991,1,0
10459,13124,2818817,68440,1963,1,100,82.6,3.8,0.7,4724600.2,50245.4,931609.1,259106.7,118.47,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.13371273,11.13371273,5.525054453,4.774659764,1,0
7629,9289,4346506,72160,1936,1,100,57.8,3.2,0.5,3074899.8,33274.3,830306.6,233043,27.25,40.672359,-73.973738,6,39,157,11.18664115,11.18664115,5.211124155,3.305053521,0,0
329,338,4994396,756400,1966,1,95,24.4,5.8,0,3140589.8,31405.9,15576311.5,4440180.9,101.7424207,40.820534,-73.936144,10,9,236,13.53632562,13.54904188,5.11679549,3.794018727,0,0
10375,13024,2804056,70110,1929,1,100,85.1,3.4,0.8,5135600,55833.9,829354.9,235363.5,53.94,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.15782072,11.15782072,5.608738926,3.987872318,1,0
7027,8452,2818879,86527,1959,1,100,71.6,3.6,0.6,4529299.8,48518.6,1083378.2,310238.4,56.34,40.858218,-73.870557,11,15,33201,11.36821178,11.36821178,5.650733254,4.031404762,0,0
2848,3312,2543952,177679,1906,1,100,67.9,5.5,0.5,8685519,96962.7,3374631.9,972280.3,25.6,40.787023,-73.968085,7,6,173,12.08773383,12.08773383,6.134048591,3.242592351,0,0
9533,11938,5803913,126438,2013,1,95,65.6,8.4,0.4,4190517.7,45610.4,3158045.8,936238.1,101.7424207,40.577273,-73.958991,13,48,61002,11.74750735,11.62668263,5.405376439,3.794018727,0,0
10445,13102,3050345,721672,1963,1,100,200.2,8.7,1,63875065.1,675176,21035884.4,5985866.5,128.61,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,13.48932602,13.43847692,8.89300976,4.856784569,1,0
2812,3275,4402701,147001,1926,1,100,70.5,3.9,0.6,8390500.2,91994.7,2038243.5,579626.6,27.96,40.784111,-73.98297,7,6,163,11.89819467,11.90496755,6.09964608,3.330774917,0,0
1144,1386,4952788,126230,1920,1,100,72.4,12.6,0.3,3715275,40201.1,5493912.8,1604940,101.7424207,40.739881,-74.004929,2,3,77,11.74586092,11.75412109,5.284725413,3.794018727,0,0
4891,5670,2789420,56379,1909,1,100,154.1,7.5,0.478642298,4206666.5,66944.70117,1718464,492606,130.29,40.820254,-73.95495,9,7,22301,10.93985203,11.0106796,6.282453645,4.869762735,0,0
10107,12698,4043884,69912,1924,1,100,101,6.732861157,0.478642298,425836.6,66944.70117,1220083.3,1381668.643,101.7424207,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.15499259,11.30914327,6.238519918,3.794018727,1,0
5838,6902,4043945,87072,2004,1,100,81.5,5.7,0.7,5544978,59017.9,1763188.2,510167.8,84.26,40.814402,-73.907657,1,8,73,11.37449064,11.40404766,5.685279003,4.433907257,0,0
5140,5989,2805329,57195,1920,1,100,84.1,3.8,0.7,4056049.1,40560.5,754766.3,214745.3,43.05,40.842052,-73.940189,12,10,253,10.95422176,10.95422176,5.372496765,3.762362231,0,0
661,740,3892953,103158,1935,1,95,34.5,6.732861157,0.478642298,1611297.4,66944.70117,1894663.4,1381668.643,24.8,40.714387,-74.003773,1,1,31,11.54401707,11.6393202,4.755312844,3.210843653,0,0
9387,11731,3114772,68076,1940,1,100,65.9,2.2,0.6,4101299.9,43882.4,591132.4,165458.5,84.24,40.629099,-73.957021,14,45,772,11.12838001,11.23273526,5.477717995,4.433669868,0,0
2797,3258,4369119,56074,1913,1,100,69.4,6.732861157,0.478642298,3280437.1,66944.70117,907844.7,1381668.643,101.7424207,40.780033,-73.98499,7,6,159,10.93442753,11.00852913,5.160204064,3.794018727,0,0
1855,2185,2659307,106841,1910,1,100,70.3,6.732861157,0,151350,1513.5,2415212.1,1381668.643,26.35,40.737237,-73.98854,5,2,52,11.57909703,11.56798167,6.054204577,3.271468275,0,0
5393,6293,3417095,104180,2006,1,100,89.3,7.6,0.7,6559300.3,69727.4,2770997.8,797911.6,93.27,40.862659,-73.921856,12,10,291,11.55387545,11.55731549,5.853351245,4.535498513,0,0
6993,8417,2809946,88386,1930,1,100,113.3,4.2,1.1,8696466.4,93416.7,1315079.8,375020.7,62.3,40.856317,-73.866627,11,13,22403,11.38946887,11.38946887,6.135348417,4.131961426,0,0
716,822,4401449,100984,1985,1,100,55.6,7.7,0.3,2879384.3,31891,2731620.4,780012.9,22,40.72221,-74.010722,1,1,39,11.52271737,11.52271737,5.029784113,3.091042453,0,0
4939,5733,5083857,58569,1905,1,100,39.2,3.2,0.3,1651759.1,16517.6,644219.1,188809.8,101.7424207,40.818535,-73.941356,10,9,230,10.97796083,10.97796083,4.473921899,3.794018727,0,0
1997,2339,3108963,80797,1920,1,100,132.7,23.3,0.1,1167044.9,11812.8,6684334.2,1936372.2,40.37,40.750688,-73.982059,5,4,82,11.29969512,11.32655974,5.693058511,3.698086935,0,0
6526,7860,4387469,54900,1930,1,100,86.3,3.7,0.1,301300,3013,716731.5,200972.3,91.24,40.866205,-73.888579,7,15,40502,10.91326863,10.91326863,5.691034902,4.513493397,0,0
8379,10526,4405291,79120,1927,1,100,76.9,2.8,0.7,5325092.3,56742.5,755485.4,221420.1,141.6,40.654947,-73.957837,14,40,79602,11.27872097,11.27861985,5.644739934,4.953006181,0,0
6167,7361,2665209,167409,2006,1,100,70.9,6,0.5,8426112.5,89993.3,3449681.3,1011043.6,101.7424207,40.828949,-73.891897,3,17,125,12.0281952,11.97287245,6.103899976,3.794018727,0,0
7041,8468,3275150,53010,1927,1,100,91.4,4,0.1,476246.3,4875.6,822306.6,232534.2,483.63,40.859953,-73.865586,11,13,330,10.87823585,10.97525951,5.798789578,6.181320152,0,0
4493,5112,2715968,77000,1985,1,100,76.6,5.7,0.6,5289018.6,56238.3,1847115.1,526546.5,4.7,40.7997,-73.945067,11,9,184,11.2515607,11.44218106,5.637998734,1.547562509,0,0
9464,11848,2674519,52590,1967,1,100,140.8,5,1.3,6506248.8,69695.1,898029.8,263197.4,101.7424207,40.647487,-73.890951,18,46,1018,10.87028127,10.8700911,5.845282037,3.794018727,0,0
6741,8096,5857962,92988,1931,1,100,58.7,3,0.478642298,572343.6,66944.70117,995662,278399.6,93.84,40.879228,-73.872353,7,11,431,11.44022573,11.44022573,5.765191103,4.541591204,0,0
4771,5495,2669362,75600,1952,1,100,55.3,2.3,0,119539,1223,721922.2,203597.3,101.7424207,40.802794,-73.969464,7,6,195,11.23321156,11.38736224,5.737217251,3.794018727,0,0
8659,10839,4043803,88277,1941,1,100,79.5,2.9,0.7,7132299.8,76632.8,1059933.3,296463,76.84,40.637951,-73.973088,12,39,490,11.38823488,11.54238718,5.937008361,4.341725338,0,0
2533,2965,3127498,69540,2005,1,100,65.5,6.732861157,0.478642298,3406891.6,66944.70117,1715465.8,1381668.643,101.7424207,40.765461,-73.991235,4,3,135,11.14965741,11.14965741,5.198497031,3.794018727,0,0
10495,13162,2960351,121425,1980,1,100,46.4,6.732861157,0.478642298,3610500,66944.70117,1956853.8,1381668.643,29.07,40.75499004,-73.95547372,7.3611834,16.22038077,5186.015614,11.70705207,11.69524702,5.256453162,3.369706715,1,0
